Comp,Epsilon,Material ID,cm0,cm1,cm2,AvgElectron,sTot,pTot,dTot,fTot,NAtom,AvgIonicRad,DevIonicRad,VolumeAverageMass,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,symm,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
K2SeO4,7.1,mp-5226,3566.022362,2223.818425,2196.450433,1.418992975,1.714285714,2.857142857,1.428571429,0,28,144.5714286,21.82958113,74.22033173,31.5948,21.81095813,3.186422055,2.564285714,2.62,1.143476618,89.77142857,127.2133878,285.36,2.979825,7,2.864347595,0.00727272,0.003911454,0.011303143,0.001526414,8.04E-05,-1.824394396,3.5912,Orthorhombic,6.16892963,7.822925,10.6267274,90,90,90
KTaO3,242,mp-3614,14851.63893,587.630664,88.56403764,2.107587487,1.8,2.4,0.6,2.8,5,122.8,25.41180828,156.6615403,53.608636,64.2950808,4.574257139,2.528,2.62,1.137477912,78.864,110.613815,285.36,1.7109699,5,6.796249327,0.006387216,0.003170025,0.009433885,0.001273983,0,-3.097557525,2.0983,Cubic,4.03083933,4.03083933,4.03083933,90,90,90
LiBr,12.1,mp-976280,2835.169211,2246.0366,6.758586546,4.189027831,1.5,2.5,5,0,4,127.5,68.5,169.3260591,43.422,36.482,6.385400949,1.97,1.98,0.99,92.9,71.1,142.2,0.5128803,2,2.788735159,0.003009238,0.001026345,0.004298518,0.001787196,0,-1.572895285,4.935,Hexagonal,4.188175107,4.188175107,6.80826051,90,90,119.9999673
Li2CO3,4.9,mp-3054,244.2172648,95.23427126,47.89613304,2.105240298,1.666666667,2.333333333,0,0,12,85.83333333,54.00128599,81.86858213,12.31466667,4.053583463,1.789058637,2.471666667,2.46,1.100703058,60.70833333,73.23801754,158.76,0.9025196,6,1.996752244,0.009920846,0.004486642,0.015084766,0.003376401,0,-2.260002997,5.0574,Monoclinic,4.906923252,4.906923251,6.347791796,69.38285143,69.38285145,61.86175265
LiCl,11.37,mp-22905,449.6795359,6.098155168,0,2.937193886,1.5,2.5,0,0,2,120,61,91.42577625,21.195,14.255,5.803798066,2.07,2.18,1.09,94.465,69.535,139.07,0.4636548,2,2.058244268,0.003535043,0.001436531,0.005378989,0.001874607,0,-2.106838987,6.25,Cubic,3.643542554,3.643542558,3.64354255,59.99999998,59.99999995,59.99999995
LiF,8.7,mp-1138,99.42487926,5.091525579,0,3.198846371,1.5,2.5,0,0,2,93.75,34.75,66.35444347,12.96920158,6.029201581,5.083154777,2.48,3,1.5,83.85,80.15,160.3,0.3909068,2,2.530431136,0.00587987,0.003763857,0.010977034,0.002003086,0,-3.180438733,8.7161,Cubic,2.887419188,2.887419181,2.88741919,60.00000002,60.00000009,60.00000005
LiH3(SeO3)2,29,mp-696288,3385.814836,2138.476873,2088.911366,2.205160393,1.666666667,2.666666667,1.666666667,0,24,95.91666667,84.24711502,213.8791783,21.99166667,26.23016178,0.28403992,2.776666667,2.46,0.76204039,21.78677686,43.59166501,159.4928926,1.2338742,12,3.235539272,0.028539577,0.008699296,0.037858306,0.00847377,0.005369816,-1.453848509,4.2564,Monoclinic,6.310626569,8.01307628,5.560048306,90,105.5569653,90
LiI,11.03,mp-570935,7493.088825,6257.359318,7.226305257,3.86531091,1.5,2.5,5,0,4,139.5,80.5,222.191166,66.922235,59.982235,6.580152484,1.82,1.68,0.84,99.3,64.7,129.4,0.6023843,2,3.316300465,0.002585988,0.000671729,0.003405916,0.00176055,0,-1.235266045,4.3818,Hexagonal,4.56607297,4.566073255,7.42356468,90,90,119.9999979
LiIO3,7.9,mp-23384,11287.57134,6601.683468,6568.554052,3.242599524,1.8,3.4,2,0,40,136.8,50.96037676,265.5504651,36.368294,45.4038502,2.94564795,2.792,2.46,0.955037172,42.864,61.62616379,158.76,0.6847718,5,3.893147538,0.008667649,0.003269874,0.011756024,0.002631334,0,-1.399080595,3.7255,Tetragonal,6.2273072,9.98201092,9.98201092,90,90,90
LiNbO3,85.7,mp-3731,4230.866766,3273.447321,114.2469961,2.503280208,1.6,2.4,0.8,0,10,107.2,34.29518917,193.0098829,29.568674,31.86260749,2.920838303,2.58,2.46,1.071372951,57.144,66.16220843,158.76,0.7659886,5,4.412866328,0.008391863,0.003546776,0.011805846,0.002642485,0,-2.913254996,3.3358,Trigonal,5.592399211,5.592399207,5.592399202,55.67586873,55.67586882,55.67586871
