PaTe3
Nd3U2O10
KU2(PO4)3
NaUO3
CsNpCuS3
U(NiP)2
U(CrC)4
U2CuAs2(HO)24
CsUO3
TmPaTc2
K2Th(MoO4)3
PuIr2
Na2UI6
NpPd3
U(GePd)2
Pu3In
SbKr3F11
U3Ni3Sn4
PuSb3
He
U4Ga12Co
Th(SiTc)2
PaRh3
U8CrS17
ErPu3
U2CuP2(HO)24
Kr
U2Bi2O7
U(FeGe)2
Th6CBr14
Ce4ThO10
YPaRu2
U(SiRh)2
TmPaO4
PuPd
Pu2Ni2Sn
U(OF)2
As2Pb(XeF6)3
U2Si5Tc3
Np2Si4Mo3
UZn3
SbXeOF9
PaFe3
K2USO7F2
Mg3Np
PaAlRu2
SrPuO4
Rb6U2Mo4O21
U3(Al3Ru)4
NaPaO3
ThMnSe3
U6Co30Si19
Na4UC3O11
ThU8O18
PuAl2
PuH18C3S3(O2F)9
PaAlAu2
UPb(SeO4)2
Th2AuF11
PuPd3
UAl3Pd2
UCd3O6
K2UH6C2SO13
Th(Fe2P)2
Rb2UO4
Pu3Zn22
Ba2SrUO6
U(FeP3)4
NpAu3
Pa3Ta
ThUO4
Th(Al2Fe)4
UAsS
UF5
U2Ni2Sn
Th3P4
ThTa2O7
UFe3B2
U(CuP)2
Ce3Th2O9
CaAcHg2
Th5Sn3
PuIn3
La6UO12
UMn2
Ca4ThF12
LaTh4O10
K4BaU3O12
K3Th2Cu3S7
CaUO4
K6U4O15
Ac2NiGe
PuBiPd2
Th2FeB10
UGePt
PuAl4
PaCo3
CaAs2(XeF5)4
Ac2ZnGe
NpAgSeO5
Th4Ta18O53
UNi5Ge3
Pa3Tc
ThZr2F12
Ac3Tl
Th(CrSi)2
UCoGe
Sr2UMnO6
USb2
ThPbI6
KUCrO6
Na2ThF6
PuGa6
NaTh2F9
Pu(SiNi)2
Ba2UCoO6
AcAgAu2
HgSb3XeF17
UAg3
Th2Zn17
Na4UCr3O14
PuOs2
UZnNi4
Rb2U2WO10
RbU2H5C4O15
UOF4
Pa3Te
Pa3Ge
ThIr5
AcCd3
UB2Ru3
Rb2ThF6
SmPa3
LuPaTc2
Th2Ga
Rb2U3(TeO7)2
CeU5O12
NaPuO3
PaHgAu2
RbUAgSe3
CaThRh2
U3(SiC)2
BaSb2Xe5F22
UCl2O
RbUTe3Au
Rb3U2Ge2O11
Pa3As4
SbTe7SXeCl(OF4)9
